"å","a"
"Å","A"
"So0","Soo"
"S0","so"
" So "," so "
"s0","so"
"-SO","-So"
"SO ","So "
"sO","so"
"...SO","...so"
"SO...","so..."
"...So","...so"
"I'm So","I'm so"
"YOu","You"
"0r","or"
"Iam","I am"
"['m","I'm"
"getit","get it"
"ifyou","if you"
"7he","The"
" Know"," know"
" Say"," say"
"tit is","it is"
" ts"," is"
" Knew"," knew"
" Keep"," keep"
" Suppose"," suppose"
" Started"," started"
"...1S","...Is"
"...1f","...if"
"...IS","...is"
"...iS","...is"
"...1N","...in"
"...'d","...I'd"
"IN Case","In case"