"So0","Soo"
"S0","so"
"s0","so"
"|","I"
"0r","or"
"Iam","I am"
"getit","get it"
"ifyou","if you"
"7he","The"
" Know"," know"
"tit is","it is"
" Knew"," knew"
".../","...I"
"I Suppose","I suppose"
" Started"," started"
"ofhis","of his"
" Without"," without"
"...1S","...is"
"...1s","...is"
"...1f","...if"
"...IS","...is"
"...iS","...is"
"... iS","...is"
"...1N","...in"
"...nas ","...has "
"...ne ","...he "
"...ne'll","...he'll"
"...ne's","...he's"
"...'d","...I'd"
"IN Case","In case"
"...IN ","...in "
"I! ","I "
"Â£ome","home"
"...Will ","...will "
"...With ","...with "
"ofhis","of his"
"didjump","did jump"